symbol,1.0.0,1.2.0,1.3.0
_ZN16GameDataFunction34tryOnDimensionBigCastleGalaxyCometEv,0x000872F0,0x00086F30,0x00086700
_ZN16GameDataFunction13isLuigiPlayerEv,0x00087800,0x00087440,0x00086C10
_ZN13NerveExecutorC1EPKc,0x000A0BE0,0x000A0990,0x000A0160
_ZN13NerveExecutorD1Ev,0x000A0C14,0x000A09C4,0x000A0194
_ZN13NerveExecutor9initNerveEPK5Nervel,0x000A0C38,0x000A09E8,0x000A01B8
_ZN13NerveExecutor11updateNerveEv,0x000A0C84,0x000A0A34,0x000A0204
_ZN13NerveExecutor8setNerveEPK5Nerve,0x000A0C94,0x000A0A44,0x000A0214
_ZNK13NerveExecutor7isNerveEPK5Nerve,0x000A0C9C,0x000A0A4C,0x000A021C
_ZNK13NerveExecutor12getNerveStepEv,0x000A0CC8,0x000A0A78,0x000A0248
_ZN2MR13isEqualStringEPKcPKc,0x000B6170,0x000B5F20,0x000B58A0
_ZN2MR17isEqualStringCaseEPKcS1_,0x000B6190,0x000B5F40,0x000B58C0
_ZN2MR17isStageFileSelectEv,0x000B77A0,0x000B7550,0x000B6ED0
_ZN2MR39isGalaxyHorrorCometAppearInCurrentStageEv,0x000B95D0,0x000B93B0,0x000B8D50
_ZN2MR27explainFlyingMarioIfAtFirstEv,0x000B9980,0x000B9760,0x000B9100
_ZN2MR35isOnGameEventFlagFlyingMarioAtFirstEv,0x000B99C0,0x000B97A0,0x000B9140
_ZN2MR33onGameEventFlagFlyingMarioAtFirstEv,0x000B9E80,0x000B9C60,0x000B9600
_ZN2MR29isOnGameEventFlagNormalEndingEv,0x000BA1C0,0x000B9FA0,0x000B9940
_ZN2MR36isOnGameEventFlag120PowerStarsEndingEv,0x000BA1D0,0x000B9FB0,0x000B9950
_ZN2MR37isGalaxyDarkCometAppearInCurrentStageEv,0x000BA720,0x000BA530,0x000B9ED0
_ZN2MR38isGalaxyQuickCometAppearInCurrentStageEv,0x000BA730,0x000BA540,0x000B9EE0
_ZN2MR39isGalaxyPurpleCometAppearInCurrentStageEv,0x000BA740,0x000BA550,0x000B9EF0
_ZN2MR40isGalaxyRainbowCometAppearInCurrentStageEv,0x000BA750,0x000BA560,0x000B9F00
_ZN2MR20connectToSceneLayoutEP7NameObj,0x000BB490,0x000BB2A0,0x000BAC40
_ZN7NameObj13startMovementEv,0x000BE5C8,0x000BE558,0x000BDF88
_ZN7NameObj11endMovementEv,0x000BE5CC,0x000BE55C,0x000BDF8C
_ZN9LiveActor15updateHitSensorEP9HitSensor,0x000BE5D0,0x000BE560,0x000BDF90
_ZN9LiveActor14receiveMsgPushEP9HitSensorS1_,0x000BE5D4,0x000BE564,0x000BDF94
_ZN9LiveActor21receiveMsgEnemyAttackEjP9HitSensorS1_,0x000BE5DC,0x000BE56C,0x000BDF9C
_ZN12JMapLinkInfoC1Ev,0x000BE788,0x000BE718,0x000BE148
_ZN12JMapLinkInfoC1ERK12JMapInfoIterb,0x000BE79C,0x000BE72C,0x000BE15C
_ZN12JMapLinkInfo13setLinkedInfoERK12JMapInfoIter,0x000BE7B8,0x000BE748,0x000BE178
_ZN12JMapLinkInfo11setLinkInfoERK12JMapInfoIter,0x000BE8A4,0x000BE834,0x000BE264
_ZNK12JMapLinkInfo7isValidEv,0x000BEA3C,0x000BE9CC,0x000BE3FC
_ZN8JMapInfoC1Ev,0x000BEA64,0x000BE9F4,0x000BE424
_ZN8JMapInfoD1Ev,0x000BEA74,0x000BEA04,0x000BE434
_ZN8JMapInfo6attachEPKv,0x000BEA78,0x000BEA08,0x000BE438
_ZN8JMapInfo7setNameEPKc,0x000BEA8C,0x000BEA1C,0x000BE44C
_ZNK8JMapInfo7getNameEv,0x000BEA94,0x000BEA24,0x000BE454
_ZNK8JMapInfo14searchItemInfoEPKc,0x000BEAA0,0x000BEA30,0x000BE460
_ZNK8JMapInfo12getValueTypeEPKc,0x000BEB30,0x000BEAC0,0x000BE4F0
_ZNK8JMapInfo12getValueFastEiiPPKc,0x000BEBBC,0x000BEB4C,0x000BE57C
_ZNK8JMapInfo12getValueFastEiiPm,0x000BEC0C,0x000BEB9C,0x000BE5CC
_ZNK8JMapInfo12getValueFastEiiPl,0x000BEC94,0x000BEC24,0x000BE654
_ZN2MR11getHashCodeEPKc,0x000BEE70,0x000BEE00,0x000BE830
_ZN2MR13getObjectNameEPPKcRK12JMapInfoIter,0x000D1820,0x000D17B0,0x000D11E0
_ZN2MR12isObjectNameERK12JMapInfoIterPKc,0x000D18F0,0x000D1880,0x000D12B0
_ZN2MR17validateHitSensorEP9HitSensor,0x000D9B50,0x000D9B80,0x000D9880
_ZN2MR19invalidateHitSensorEP9HitSensor,0x000D9E20,0x000D9E50,0x000D9890
_ZN2MR12isSensorTypeEPK9HitSensorm,0x000D9E30,0x000D9E60,0x000D95B0
_ZN23ActorStateBaseInterface4initEv,0x0012D364,0x0012D774,0x0012D1D4
_ZN23ActorStateBaseInterface7controlEv,0x0012D648,0x0012DA58,0x0012D4B8
_ZN13EventFunction17isStartCometEventEPKc,0x001386E0,0x00138AF0,0x00138550
_ZN9LiveActorC1EPKc,0x0015C6C8,0x0015CCA8,0x0015C708
_ZN9LiveActor4initERK12JMapInfoIter,0x0015C76C,0x0015CD4C,0x0015C7AC
_ZN9LiveActor6appearEv,0x0015C770,0x0015CD50,0x0015C7B0
_ZN9LiveActor17makeActorAppearedEv,0x0015C77C,0x0015CD5C,0x0015C7BC
_ZN9LiveActor4killEv,0x0015C81C,0x0015CDFC,0x0015C85C
_ZN9LiveActor13makeActorDeadEv,0x0015C870,0x0015CE50,0x0015C8B0
_ZN9LiveActor8movementEv,0x0015C8E8,0x0015CEC8,0x0015C928
_ZN9LiveActor8calcAnimEv,0x0015CA48,0x0015D028,0x0015CA88
_ZN9LiveActor10calcAnmMtxEv,0x0015CABC,0x0015D09C,0x0015CAFC
_ZN9LiveActor16calcViewAndEntryEv,0x0015CB0C,0x0015D0EC,0x0015CB4C
_ZN9LiveActor14receiveMessageEjP9HitSensorS1_,0x0015CB24,0x0015D104,0x0015CB64
_ZN9LiveActor17calcAndSetBaseMtxEv,0x0015CB78,0x0015D158,0x0015CBB8
_ZNK9LiveActor12getTakingMtxEv,0x0015CC14,0x0015D1F4,0x0015CC54
_ZN9LiveActor8setNerveEPK5Nerve,0x0015CC20,0x0015D200,0x0015CC60
_ZNK9LiveActor7isNerveEPK5Nerve,0x0015CC28,0x0015D208,0x0015CC68
_ZNK9LiveActor12getNerveStepEv,0x0015CC54,0x0015D234,0x0015CC94
_ZNK9LiveActor9getSensorEPKc,0x0015CC60,0x0015D240,0x0015CCA0
_ZNK9LiveActor10getBaseMtxEv,0x0015CC70,0x0015D250,0x0015CCB0
_ZN9LiveActor12startClippedEv,0x0015CCA0,0x0015D280,0x0015CCE0
_ZN9LiveActor10endClippedEv,0x0015CD00,0x0015D2E0,0x0015CD40
_ZN9LiveActor23initModelManagerWithAnmEPKcPKcPKcb,0x0015CD64,0x0015D344,0x0015CDA4
_ZN9LiveActor9initNerveEPK5Nervel,0x0015CE0C,0x0015D3EC,0x0015CE4C
_ZN9LiveActor13initHitSensorEl,0x0015CE58,0x0015D438,0x0015CE98
_ZN9LiveActor10initBinderEffm,0x0015CE98,0x0015D478,0x0015CED8
_ZN9LiveActor13initRailRiderERK12JMapInfoIter,0x0015CF38,0x0015D518,0x0015CF78
_ZN9LiveActor16initEffectKeeperElPKcb,0x0015CF78,0x0015D558,0x0015CFB8
_ZN9LiveActor9initSoundElPKcNPK9JGeometry5TVec3IfEENRK9JGeometry5TVec3IfEE,0x0015D020,0x0015D600,0x0015D060
_ZN9LiveActor24initShadowControllerListEm,0x0015D088,0x0015D668,0x0015D0C8
_ZN9LiveActor23initActorCollisionPartsEPKcP9HitSensorP14ResourceHolderPA4_fbb,0x0015D0CC,0x0015D6AC,0x0015D10C
_ZN9LiveActor15initStageSwitchERK12JMapInfoIter,0x0015D1C0,0x0015D7A0,0x0015D200
_ZN9LiveActor26initActorStarPointerTargetEfNPK9JGeometry5TVec3IfEEPA4_fN9JGeometry5TVec3IfEE,0x0015D1E4,0x0015D7C4,0x0015D224
_ZN9LiveActor18initActorLightCtrlEv,0x0015D25C,0x0015D83C,0x0015D29C
_ZN9LiveActor12attackSensorEP9HitSensorS1_,0x0015D290,0x0015D870,0x0015D2D0
_ZN9LiveActorD1Ev,0x0015D294,0x0015D874,0x0015D2D4
_ZN9LiveActor7controlEv,0x0015D2B8,0x0015D898,0x0015D2F8
_ZN9LiveActor22receiveMsgPlayerAttackEmP9HitSensorP9HitSensor,0x0015D2BC,0x0015D89C,0x0015D2FC
_ZN9LiveActor15receiveOtherMsgEmP9HitSensorP9HitSensor,0x0015D2C4,0x0015D8A4,0x0015D304
_ZN13LiveActorFlagC1Ev,0x0015D2CC,0x0015D8AC,0x0015D30C
_ZN11SensorGroupC1EiPKc,0x0015E6A0,0x0015EC80,0x0015E6E0
_ZN11SensorGroup3addEP9HitSensor,0x0015E704,0x0015ECE4,0x0015E744
_ZN11SensorGroup6removeEP9HitSensor,0x0015E730,0x0015ED10,0x0015E770
_ZN16SensorHitCheckerC1EPKc,0x0015E788,0x0015ED68,0x0015E7C8
_ZN16SensorHitChecker4initERK12JMapInfoIter,0x0015E884,0x0015EE64,0x0015E8C4
_ZN16SensorHitChecker9initGroupEP9HitSensor,0x0015E898,0x0015EE78,0x0015E8D8
_ZN16SensorHitChecker8movementEv,0x0015E9C0,0x0015EFA0,0x0015EA00
_ZNK16SensorHitChecker13doObjColGroupEP11SensorGroupP11SensorGroup,0x0015EB90,0x0015F170,0x0015EBD0
_ZNK16SensorHitChecker19doObjColInSameGroupEP11SensorGroup,0x0015ED00,0x0015F2E0,0x0015ED40
_ZN2MR18initHitSensorGroupEP9HitSensor,0x0015EE40,0x0015F420,0x0015EE80
_ZN16SensorHitCheckerD1Ev,0x0015EE6C,0x0015F44C,0x0015EEAC
_ZN15HitSensorKeeperC1Ei,0x0015EE90,0x0015F470,0x0015EED0
_ZN15HitSensorKeeper3addEPKcmtfP9LiveActorNRK9JGeometry5TVec3IfEE,0x0015EEF4,0x0015F4D4,0x0015EF34
_ZN15HitSensorKeeper11addCallbackEPKcmtfP9LiveActor,0x0015EFB8,0x0015F598,0x0015EFF8
_ZNK15HitSensorKeeper9getSensorEPKc,0x0015F090,0x0015F670,0x0015F0D0
_ZN15HitSensorKeeper6updateEv,0x0015F150,0x0015F730,0x0015F190
_ZN15HitSensorKeeper8doObjColEv,0x0015F1A0,0x0015F780,0x0015F1E0
_ZN15HitSensorKeeper5clearEv,0x0015F1F0,0x0015F7D0,0x0015F230
_ZN15HitSensorKeeper8validateEv,0x0015F230,0x0015F810,0x0015F270
_ZN15HitSensorKeeper10invalidateEv,0x0015F280,0x0015F860,0x0015F2C0
_ZN15HitSensorKeeper16validateBySystemEv,0x0015F2D0,0x0015F8B0,0x0015F310
_ZN15HitSensorKeeper18invalidateBySystemEv,0x0015F320,0x0015F900,0x0015F360
_ZNK15HitSensorKeeper16getNthSensorInfoEi,0x0015F36C,0x0015F94C,0x0015F3AC
_ZNK15HitSensorKeeper13getSensorInfoEPKc,0x0015F380,0x0015F960,0x0015F3C0
_ZN9HitSensorC1EmtfP9LiveActor,0x0015F440,0x0015FA20,0x0015F480
_ZN9HitSensor14receiveMessageEmP9HitSensor,0x0015F4C8,0x0015FAA8,0x0015F508
_ZN9HitSensor7setTypeEm,0x0015F4DC,0x0015FABC,0x0015F51C
_ZNK9HitSensor6isTypeEm,0x0015F554,0x0015FB34,0x0015F594
_ZN9HitSensor8validateEv,0x0015F564,0x0015FB44,0x0015F5A4
_ZN9HitSensor10invalidateEv,0x0015F594,0x0015FB74,0x0015F5D4
_ZN9HitSensor16validateBySystemEv,0x0015F5DC,0x0015FBBC,0x0015F61C
_ZN9HitSensor18invalidateBySystemEv,0x0015F628,0x0015FC08,0x0015F668
_ZN9HitSensor12addHitSensorEP9HitSensor,0x0015F670,0x0015FC50,0x0015F6B0
_ZN13HitSensorInfo12setFollowPosENPK9JGeometry5TVec3IfEE,0x0015F698,0x0015FC78,0x0015F6D8
_ZN13HitSensorInfo12setFollowMtxEPA4_f,0x0015F6A0,0x0015FC80,0x0015F6E0
_ZN13HitSensorInfoC1EPKcP9HitSensorNPK9JGeometry5TVec3IfEEPA4_fNRK9JGeometry5TVec3IfEEb,0x0015F6A8,0x0015FC88,0x0015F6E8
_ZN13HitSensorInfo6updateEv,0x0015F714,0x0015FCF4,0x0015F754
_ZN13HitSensorInfo8doObjColEv,0x0015F870,0x0015FE50,0x0015F8B0
_ZN5SpineC1EPvPK5Nervel,0x00168EEC,0x001694DC,0x00168F3C
_ZN5Spine6updateEv,0x00168F44,0x00169534,0x00168F94
_ZN5Spine8setNerveEPK5Nerve,0x00168FE0,0x001695D0,0x00169030
_ZNK5Spine15getCurrentNerveEv,0x0016902C,0x0016961C,0x0016907C
_ZN16ActorStateKeeperC1Ei,0x00169040,0x00169630,0x00169090
_ZN16ActorStateKeeper8addStateEP23ActorStateBaseInterfacePK5NervePKc,0x001690D0,0x001696C0,0x00169120
_ZN16ActorStateKeeper18updateCurrentStateEv,0x001690F8,0x001696E8,0x00169148
_ZN16ActorStateKeeper10startStateEPK5Nerve,0x00169120,0x00169710,0x00169170
_ZNK16ActorStateKeeper6isDeadEv,0x00169164,0x00169754,0x001691B4
_ZN16ActorStateKeeper8endStateEPK5Nerve,0x00169188,0x00169778,0x001691D8
_ZN23ActorStateBaseInterface6updateEv,0x00170508,0x00170AF8,0x00170558
_ZN23ActorStateBaseInterface6appearEv,0x0017055C,0x00170B4C,0x001705AC
_ZN23ActorStateBaseInterface4killEv,0x00170564,0x00170B54,0x001705B4
_ZN7NameObjC1EPKc,0x00175E64,0x00176454,0x00175EB4
_ZN7NameObj7setNameEPKc,0x00175EBC,0x001764AC,0x00175F0C
_ZN7NameObjD1Ev,0x00175ED8,0x001764C8,0x00175F28
_ZN7NameObj4initERK12JMapInfoIter,0x00175EFC,0x001764EC,0x00175F4C
_ZN7NameObj18initAfterPlacementEv,0x00175F00,0x001764F0,0x00175F50
_ZN7NameObj8movementEv,0x00175F04,0x001764F4,0x00175F54
_ZNK7NameObj4drawEv,0x00175F08,0x001764F8,0x00175F58
_ZN7NameObj8calcAnimEv,0x00175F0C,0x001764FC,0x00175F5C
_ZN7NameObj16calcViewAndEntryEv,0x00175F10,0x00176500,0x00175F60
_ZN7NameObj15initWithoutIterEv,0x00175F14,0x00176504,0x00175F64
_ZN7NameObj13setLinkedInfoERK12JMapInfoIter,0x00175F48,0x00176538,0x00175F98
_ZN7NameObj15executeMovementEv,0x00175F50,0x00176540,0x00175FA0
_ZN7NameObj13syncWithFlagsEv,0x00175F68,0x00176558,0x00175FB8
_ZN15NameObjFunction17requestMovementOnEP7NameObj,0x00175FA0,0x00176590,0x00175FF0
_ZN15NameObjFunction18requestMovementOffEP7NameObj,0x00175FD0,0x001765C0,0x00176020
_ZN14NameObjFactory10getCreatorEPKc,0x00177ED0,0x001784C0,0x00177F20
_ZN14NameObjFactory13createNameObjI16BenefitItemOneUpEEP7NameObjPKc,0x0017BF70,0x0017C5A0,0x0017C000
_ZNK15MorphItemObjNeo6isDemoEv,0x0018034C,0x0018097C,0x001803DC
_ZN15MorphItemObjNeo17emitAppearEffectsEv,0x0018036C,0x0018099C,0x001803FC
_ZN15MorphItemObjNeo20appearTransformationEv,0x00180370,0x001809A0,0x00180400
_ZN15MorphItemObjNeo18killTransformationEv,0x00180374,0x001809A4,0x00180404
_ZN14SceneObjHolderC1Ev,0x00180D48,0x00181378,0x00180DD8
_ZN14SceneObjHolder10newEachObjEi,0x00180D54,0x00181384,0x00180DE4
_ZNK14SceneObjHolder6getObjEi,0x0018215C,0x0018278C,0x001821EC
_ZN14SceneObjHolder6createEi,0x00182170,0x001827A0,0x00182200
_ZN9GameSceneC1Ev,0x00183568,0x00183BF8,0x00183658
_ZN9GameSceneD1Ev,0x00183690,0x00183D20,0x00183780
_ZN9GameScene4initEv,0x001836C0,0x00183D50,0x001837B0
_ZN14GameScenePatch4initEv,0x001836C0,0x00183D50,0x001837B0
_ZN5SceneC1EPKc,0x00184A54,0x00185114,0x00184B74
_ZN5SceneD1Ev,0x00184ADC,0x0018519C,0x00184BFC
_ZN5Scene4initEv,0x00184B00,0x001851C0,0x00184C20
_ZN5Scene5startEv,0x00184B04,0x001851C4,0x00184C24
_ZN5Scene6updateEv,0x00184B08,0x001851C8,0x00184C28
_ZNK5Scene4drawEv,0x00184B0C,0x001851CC,0x00184C2C
_ZN5Scene8calcAnimEv,0x00184B10,0x001851D0,0x00184C30
_ZN5Scene23initNameObjListExecutorEv,0x00184B14,0x001851D4,0x00184C34
_ZN5Scene18initSceneObjHolderEv,0x00184B5C,0x0018521C,0x00184C7C
_ZN10MarioActorC1EPKc,0x001E8834,0x001E94F4,0x001E9044
_ZN15MarioActorPatch21MarioActorConstructorEv,0x001E8834,0x001E94F4,0x001E9044
_ZN10MarioActor20takenDamageBehaviourEv,0x001ED330,0x001EDFE0,0x001EDB30
_ZN15MarioActorPatch20takenDamageBehaviourEv,0x001ED330,0x001EDFE0,0x001EDB30
_ZN10MarioActor7incLifeEj,0x001ED42C,0x001EE0DC,0x001EDC2C
_ZN15MarioActorPatch7incLifeEv,0x001ED42C,0x001EE0DC,0x001EDC2C
_ZN10MarioActor19LifeRelatedFunctionEv,0x001FA7F0,0x001FB4C0,0x001FB040
_ZN15MarioActorPatch19LifeRelatedFunctionEv,0x001FA7F0,0x001FB4C0,0x001FB040
_ZN11LayoutActorC1EPKcb,0x002535C0,0x00254370,0x00254090
_ZN11LayoutActorC2EPKcb,0x002535C0,0x00254370,0x00254090
_ZN11LayoutActor8movementEv,0x00253604,0x002543B4,0x002540D4
_ZNK11LayoutActor16getLayoutManagerEv,0x00253680,0x00254430,0x00254150
_ZN11LayoutActor8calcAnimEv,0x00253688,0x00254438,0x00254158
_ZNK11LayoutActor4drawEv,0x002536BC,0x0025446C,0x0025418C
_ZN11LayoutActor6appearEv,0x002536F0,0x002544A0,0x002541C0
_ZN11LayoutActor4killEv,0x00253700,0x002544B0,0x002541D0
