symbol,1.0.0,1.2.0,1.3.0,1.4.0
_ZN16GameDataFunction34tryOnDimensionBigCastleGalaxyCometEv,0x000872F0,0x00086F30,0x00086700,0x00086700
_ZN16GameDataFunction13isLuigiPlayerEv,0x00087800,0x00087440,0x00086C10,0x00086C10
_ZN13NerveExecutorC1EPKc,0x000A0BE0,0x000A0990,0x000A0160,0x000A0BC0
_ZN13NerveExecutorD1Ev,0x000A0C14,0x000A09C4,0x000A0194,0x000A0BF4
_ZN13NerveExecutor9initNerveEPK5Nervel,0x000A0C38,0x000A09E8,0x000A01B8,0x000A0C18
_ZN13NerveExecutor11updateNerveEv,0x000A0C84,0x000A0A34,0x000A0204,0x000A0C64
_ZN13NerveExecutor8setNerveEPK5Nerve,0x000A0C94,0x000A0A44,0x000A0214,0x000A0C74
_ZNK13NerveExecutor7isNerveEPK5Nerve,0x000A0C9C,0x000A0A4C,0x000A021C,0x000A0C7C
_ZNK13NerveExecutor12getNerveStepEv,0x000A0CC8,0x000A0A78,0x000A0248,0x000A0CA8
_ZN2MR13isEqualStringEPKcPKc,0x000B6170,0x000B5F20,0x000B58A0,0x000B6320
_ZN2MR17isEqualStringCaseEPKcS1_,0x000B6190,0x000B5F40,0x000B58C0,0x000B6340
_ZN2MR17isStageFileSelectEv,0x000B77A0,0x000B7550,0x000B6ED0,0x000B7950
_ZN2MR39isGalaxyHorrorCometAppearInCurrentStageEv,0x000B95D0,0x000B93B0,0x000B8D50,0x000B97D0
_ZN2MR27explainFlyingMarioIfAtFirstEv,0x000B9980,0x000B9760,0x000B9100,0x000B9B80
_ZN2MR35isOnGameEventFlagFlyingMarioAtFirstEv,0x000B99C0,0x000B97A0,0x000B9140,0x000B9BC0
_ZN2MR33onGameEventFlagFlyingMarioAtFirstEv,0x000B9E80,0x000B9C60,0x000B9600,0x000BA080
_ZN2MR29isOnGameEventFlagNormalEndingEv,0x000BA1C0,0x000B9FA0,0x000B9940,0x000BA3C0
_ZN2MR36isOnGameEventFlag120PowerStarsEndingEv,0x000BA1D0,0x000B9FB0,0x000B9950,0x000BA3D0
